;Key;Name;Characters
53;Hani;Han (Hanzi Kanji Hanja);94204
52;Hang;Hangul;11739
192;Zyyy;Code for undetermined script;8087
167;Tang;Tangut;6914
86;Latn;Latin;1374
4;Arab;Arabic;1291
184;Xsux;Cuneiform Sumero-Akkadian;1234
185;Yiii;Yi;1220
38;Egyp;Egyptian hieroglyphs;1080
22;Cans;Unified Canadian Aboriginal Syllabics;710
147;Sgnw;SignWriting;672
10;Bamu;Bamum;657
60;Hluw;Anatolian Hieroglyphs;583
187;Zinh;Code for inherited script;573
48;Grek;Greek;518
40;Ethi;Ethiopic;495
77;Kits;Khitan small script;471
30;Cyrl;Cyrillic;443
120;Nshu;Nüshu;397
59;Hira;Hiragana;379
